TopoPSA(NO),0.0,67.06,134.12,201.18,268.25,335.31,402.37,469.43
ATSC1c,-4.0,-3.45,-2.9,-2.35,-1.81,-1.26,-0.71,-0.16
AATSC0c,0.0,0.01,0.03,0.04,0.05,0.07,0.08,0.1
IC1,0.92,1.39,1.87,2.34,2.82,3.29,3.77,4.24
AATSC0s,0.03,1.48,2.94,4.4,5.86,7.32,8.78,10.24
ATSC0s,0.22,63.99,127.75,191.51,255.28,319.04,382.8,446.57
ATSC1se,-5.73,-4.78,-3.83,-2.88,-1.93,-0.98,-0.03,0.92
SdO,0.0,24.28,48.57,72.85,97.14,121.42,145.7,169.99
GATS2dv,0.0,0.35,0.7,1.05,1.4,1.75,2.1,2.45
GATS2pe,0.0,0.27,0.54,0.8,1.07,1.34,1.61,1.88
ATSC2s,-129.35,-50.6,28.14,106.89,185.64,264.38,343.13,421.88
AATS0se,6.94,7.79,8.63,9.47,10.32,11.16,12.01,12.85
EState_VSA2,0.0,15.31,30.62,45.92,61.23,76.54,91.85,107.15
MIC1,6.74,15.51,24.28,33.05,41.82,50.59,59.36,68.13
BIC1,0.21,0.3,0.39,0.47,0.56,0.65,0.74,0.83
ATSC2c,-1.68,-1.11,-0.54,0.03,0.6,1.17,1.73,2.3
VSA_EState3,-9.32,8.8,26.91,45.02,63.14,81.25,99.37,117.48
PEOE_VSA6,0.0,19.03,38.07,57.1,76.14,95.17,114.21,133.24
AATSC2are,-0.18,-0.12,-0.05,0.01,0.07,0.13,0.19,0.25
AATSC0v,0.18,10.19,20.21,30.23,40.25,50.26,60.28,70.3
PEOE_VSA2,0.0,9.01,18.03,27.04,36.06,45.07,54.09,63.1
ATSC5s,-354.94,-274.17,-193.41,-112.65,-31.89,48.87,129.63,210.4
ATSC7s,-238.7,-161.58,-84.46,-7.34,69.78,146.9,224.02,301.14
AATS1i,116.66,127.65,138.64,149.63,160.62,171.61,182.6,193.59
nN,0.0,2.12,4.25,6.38,8.5,10.62,12.75,14.88
Zagreb2,1.0,87.0,173.0,259.0,345.0,431.0,517.0,603.0
PEOE_VSA9,0.0,15.57,31.15,46.72,62.29,77.87,93.44,109.01
AATSC1c,-0.09,-0.07,-0.06,-0.05,-0.04,-0.02,-0.01,0.0
SRW09,0.0,1.19,2.39,3.58,4.77,5.97,7.16,8.35
ATSC5c,-2.6,-1.99,-1.37,-0.75,-0.13,0.48,1.1,1.72
PEOE_VSA1,0.0,16.02,32.04,48.06,64.09,80.11,96.13,112.15
AATSC1are,-0.33,-0.27,-0.22,-0.16,-0.11,-0.05,0.0,0.06
MATS2are,-1.0,-0.78,-0.57,-0.35,-0.14,0.08,0.29,0.51
naHRing,0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5
IC4,0.92,1.69,2.47,3.25,4.02,4.8,5.58,6.35
SlogP_VSA3,0.0,16.36,32.72,49.08,65.43,81.79,98.15,114.51
CIC2,0.0,0.53,1.07,1.6,2.14,2.67,3.2,3.74
AATS1dv,0.4,3.55,6.7,9.85,13.0,16.15,19.3,22.45
JGI3,0.0,0.02,0.03,0.05,0.07,0.09,0.1,0.12
Xch-5d,0.0,0.22,0.45,0.67,0.89,1.11,1.34,1.56
ATSC4c,-4.22,-3.45,-2.69,-1.92,-1.15,-0.38,0.39,1.16
ATSC4s,-203.04,-155.02,-107.01,-59.0,-10.99,37.02,85.03,133.04
NaaCH,0.0,2.5,5.0,7.5,10.0,12.5,15.0,17.5
TPSA,0.0,79.83,159.67,239.5,319.34,399.17,479.01,558.84
PNSA3,-200.67,-175.6,-150.53,-125.46,-100.39,-75.32,-50.25,-25.18
FPSA5,0.0,0.01,0.03,0.04,0.05,0.06,0.08,0.09
DPSA4,1.99,15.91,29.83,43.75,57.67,71.58,85.5,99.42
FNSA5,-0.24,-0.21,-0.18,-0.15,-0.12,-0.09,-0.06,-0.03
RNCS,0.0,113.77,227.53,341.3,455.07,568.84,682.6,796.37
